rank,feature,avg_importance
1,macro_hs300_ret_20,174.03
2,macro_cn_10y_ma20,154.82
3,macro_hs300_vol_regime,152.79
4,macro_hs300_close,150.51
5,macro_hs300_vol_60,146.86
6,macro_hs300_vol_ma20,142.11
7,macro_cn_10y,141.24
8,macro_hs300_ret_5,140.64
9,macro_cn_slope_chg,138.87
10,macro_usdcny_ma20,128.36
11,macro_cn_slope,127.96
12,macro_hs300_ret_60,126.98
13,macro_cn_2y,123.12
14,macro_hs300_vol_20,121.23
15,macro_usdcny_vol,121.00
16,mi_yield_x_beta,116.78
17,macro_usdcny_vs_ma,116.51
18,fund_np_yoy,115.43
19,macro_us_10y_chg,109.38
20,macro_usdcny,105.62
21,macro_usdcnh,104.25
22,macro_cny_cnh_spread,104.23
23,macro_cn_us_spread_ma20,102.82
24,macro_cn_us_spread,102.66
25,macro_hs300_vol_ratio,102.61
26,macro_cn_10y_vs_ma,100.38
27,mkt_north_cum10,99.50
28,macro_cn_10y_chg,99.11
29,macro_cn_us_spread_chg,98.60
30,price_ma120_200_dist,96.95
31,macro_us_10y,95.79
32,mkt_hs300_volatility,89.79
33,fund_pe_proxy,89.76
34,mkt_hs300_volume_chg,89.72
35,mkt_north_sh_ma5,88.14
36,macro_shibor_1m,86.65
37,fund_roe,86.49
38,macro_hs300_vol_5,86.23
39,mi_mktvol_x_beta,85.67
40,macro_hs300_volume,85.66
41,price_pos_120,79.52
42,fund_pb_proxy,78.34
43,macro_stock_beta,77.74
44,macro_shibor_on_ma10,76.00
45,macro_usdcnh_chg,74.49
46,macro_shibor_3m,73.01
47,fund_mv,71.77
48,macro_stock_corr,71.04
49,fund_rev_yoy,68.76
50,cs_rank_price_parkinson_vol,68.41
51,price_parkinson_vol,68.20
52,mkt_north_sz_ma5,67.92
53,macro_usdcny_chg,67.58
54,mkt_north_cum5,66.71
55,price_ret_250,64.91
56,mkt_north_buy_ratio_ma5,62.66
57,price_vol_200,61.90
58,macro_shibor_on_chg,61.00
59,cs_rank_price_atr_ratio,60.36
60,fund_debt_ratio,59.99
61,macro_stock_vol_elastic,59.79
62,mkt_north_sz_net,59.45
63,mkt_north_surprise,59.28
64,mi_vol_regime_x_vol,59.18
65,fund_mv_chg_3m,58.82
66,price_atr_20,55.13
67,mkt_north_buy_ratio,54.85
68,price_skew_60,54.00
69,macro_shibor_on_vs_ma,53.37
70,cs_rank_price_vol_20,52.85
71,price_ret_100,52.64
72,price_atr_60,52.63
73,cs_rank_price_ret_1,52.47
74,price_ma20_60_dist,51.95
75,price_ret_30,51.92
76,pat_lower_shadow,51.73
77,price_high_dist_120,51.70
78,price_atr_10,51.21
79,macro_shibor_spread,50.25
80,pat_amplitude_ma5,49.25
81,price_ret_120,48.94
82,price_ret_200,48.92
83,price_atr_14,48.84
84,macro_shibor_1w_chg,48.58
85,macro_shibor_1w,48.16
86,fund_pe_pct,48.14
87,price_bb30_width,48.01
88,price_vol_80,47.93
89,macro_shibor_spread_chg,47.81
90,price_ma60_120_dist,46.62
91,macro_stock_alpha_5,46.39
92,mkt_vol_ratio,46.05
93,price_rsi_100,45.72
94,price_high_dist_20,43.63
95,price_vol_40,42.04
96,price_vol_100,41.79
97,mom_accel_20,41.70
98,mkt_north_sh_net,41.70
99,price_atr_ratio,41.48
100,price_ret_40,41.40
101,price_logret_1,41.38
102,sector_code,41.18
103,price_vol_60,40.88
104,fund_pb_pct,40.61
105,price_ma250_ratio,40.51
106,macro_shibor_on,40.48
107,price_bb60_width,39.85
108,price_ma10_20_dist,39.60
109,cs_rank_price_macd_hist,39.37
110,vol_ma_30,39.36
111,price_vol_120,37.03
112,price_ret_80,36.61
113,price_high_dist_60,36.56
114,price_ma20_ratio,36.32
115,mom_vol_vs_mean,35.83
116,mom_momentum_60,35.06
117,vol_ma_5,35.03
118,vol_ma_10,34.70
119,price_ma120_ratio,34.42
120,vol_ratio_120,34.39
121,cs_rank_price_ma20_ratio,34.14
122,price_ma10_slope,33.50
123,vol_ratio_60,33.48
124,vol_trend_5_60,33.29
125,vol_std_60,33.13
126,price_vol_30,32.97
127,macro_stock_alpha_20,32.93
128,price_pos_60,32.69
129,price_ma30_ratio,32.55
130,price_ma100_ratio,32.54
131,price_ma200_ratio,32.37
132,price_vol_10,32.29
133,price_rsi_50,31.70
134,price_ma60_ratio,31.66
135,price_ret_1,31.51
136,cs_rank_price_adx,31.48
137,price_bb20_width,31.25
138,price_vol_chg_60,31.24
139,price_vol_20,31.23
140,pat_amplitude,30.72
141,price_rsi_14_chg,30.26
142,price_pos_20,30.16
143,vol_ma_20,30.04
144,mom_accel_5,29.47
145,vol_obv_ma,29.46
146,mkt_alpha_cum5,29.40
147,price_vol_chg_20,29.35
148,price_ret_2,29.34
149,price_vol_5,29.24
150,price_kdj_kd_dist,29.24
151,macro_stock_rs,29.16
152,mkt_alpha_cum3,28.70
153,mom_vol_ratio_20_60,28.68
154,mom_range_60,28.12
155,price_kdj_d,28.03
156,cs_rank_price_ret_5,27.60
157,mkt_intraday_alpha,27.59
158,price_ma60_slope,27.26
159,mom_accel_10,26.79
160,price_adx,26.71
161,mom_momentum_5,26.59
162,price_kdj_k,26.58
163,price_macd_signal,26.52
164,price_rsi_14,26.37
165,sent_abnormal_ret,26.14
166,price_ma5_slope,26.03
167,fund_mv_chg_1m,26.00
168,sent_vol_ratio_ma5,25.90
169,mom_vol_ratio_5_20,25.90
170,mom_momentum_20,25.70
171,vol_std_10,25.67
172,price_macd,25.50
173,interact_vol20_ret20,25.37
174,price_ma5_10_dist,25.25
175,interact_adx_vol20,25.24
176,vol_obv,25.23
177,vol_ma_60,25.14
178,vol_ma_120,25.13
179,price_ret_15,25.06
180,vol_std_20,25.01
181,price_kurt_60,25.01
182,cs_rank_price_bb20_width,24.81
183,cs_rank_price_ret_20,24.69
184,vol_chg_20,24.37
185,price_macd_hist,24.25
186,interact_ret60_vol20,24.17
187,price_cci,24.14
188,mkt_breadth_ma5,24.08
189,mom_accel_3,23.90
190,price_logret_60,23.81
191,price_adx_trend,23.69
192,mom_decay_10_60,23.47
193,price_logret_20,23.39
194,mkt_alpha,23.36
195,price_ma80_ratio,23.15
196,price_high_dist_10,23.14
197,mom_momentum_10,22.92
198,interact_decay_vol,22.90
199,vol_trend_5_20,22.90
200,mom_momentum_3,22.84
201,interact_vol20_volratio20,22.58
202,interact_ma5_vol5,22.35
203,price_bb60_pos,21.93
204,price_rsi_24,21.71
205,cs_rank_price_cci,21.69
206,cs_rank_price_kdj_j,21.57
207,price_logret_5,21.47
208,price_ma5_ratio,21.46
209,fund_mv_rank,21.46
210,interact_ret5_vol5,21.37
211,vol_obv_chg,21.34
212,price_macd_hist_chg,20.90
213,price_ret_60,20.81
214,interact_ret20_vol20,20.73
215,price_ret_20,20.71
216,price_ma20_slope,20.71
217,mi_regime_x_ret,20.46
218,mom_decay_5_20,20.46
219,price_bb20_pos,20.36
220,price_ma10_ratio,20.35
221,mom_range_20,20.34
222,price_bb30_pos,20.25
223,price_ret_10,20.24
224,cs_rank_vol_ratio_20,20.01
225,pat_gap,19.78
226,price_pos_10,19.57
227,price_ret_5,19.46
228,price_logret_10,19.46
229,mkt_north_dir_streak,18.43
230,price_kdj_j,18.12
231,price_skew_20,17.67
232,cs_rank_price_rsi_14,17.23
233,price_ret_3,17.01
234,interact_rsi14_ret5,16.80
235,sent_vol_ratio,16.78
236,price_kurt_20,16.00
237,sent_consecutive_limit,15.71
238,price_rsi_6,15.57
239,price_logret_3,15.56
