date,open,high,low,close,volume
2026-02-26 10:00:00,529.0,529.5,519.0,519.5,4640500
2026-02-26 10:30:00,519.5,520.5,517.5,517.5,2406900
2026-02-26 11:00:00,518.0,520.0,517.0,517.5,1782000
2026-02-26 11:30:00,518.0,519.0,517.5,518.5,846800
2026-02-26 12:00:00,519.0,520.0,518.5,518.5,685300
2026-02-26 13:30:00,519.0,519.5,515.0,515.0,2244700
2026-02-26 14:00:00,515.0,516.0,513.0,514.0,2250000
2026-02-26 14:30:00,514.5,514.5,512.0,512.5,1440100
2026-02-26 15:00:00,512.5,515.5,512.5,514.5,1814400
2026-02-26 15:30:00,515.0,515.0,513.0,513.0,1251800
2026-02-26 16:00:00,513.5,514.0,512.0,512.0,4112900
2026-02-27 10:00:00,510.5,522.5,510.5,518.0,4485900
2026-02-27 10:30:00,518.0,520.0,514.5,517.0,1590200
2026-02-27 11:00:00,516.5,522.5,516.5,522.0,1702500
2026-02-27 11:30:00,522.5,530.5,521.5,525.5,4065600
2026-02-27 12:00:00,526.0,528.5,526.0,526.5,1275500
2026-02-27 13:30:00,526.0,527.0,521.0,523.5,1727300
2026-02-27 14:00:00,523.5,525.5,523.5,524.0,917700
2026-02-27 14:30:00,523.5,525.0,523.0,523.5,756400
2026-02-27 15:00:00,523.5,524.5,522.5,523.5,898200
2026-02-27 15:30:00,524.0,524.0,520.5,521.0,1196600
2026-02-27 16:00:00,521.0,522.0,518.0,518.0,11621100
2026-03-02 10:00:00,511.5,515.5,508.5,509.5,6934500
2026-03-02 10:30:00,509.0,512.0,507.0,510.0,2426300
2026-03-02 11:00:00,509.5,512.0,509.0,509.5,1771300
2026-03-02 11:30:00,510.0,518.5,509.5,518.5,2245700
2026-03-02 12:00:00,518.0,520.0,515.5,516.5,1861500
2026-03-02 13:30:00,516.0,516.5,513.5,514.5,1450700
2026-03-02 14:00:00,515.0,519.5,514.5,516.0,1758300
2026-03-02 14:30:00,515.5,516.0,513.5,514.0,1407200
2026-03-02 15:00:00,514.0,515.0,512.0,514.5,1379000
2026-03-02 15:30:00,514.0,514.0,510.0,510.5,1899600
2026-03-02 16:00:00,510.5,514.0,510.5,514.0,2997100
2026-03-03 10:00:00,518.0,520.0,513.5,515.5,3832700
2026-03-03 10:30:00,515.0,522.5,515.0,522.5,2216300
