date,open,high,low,close,volume
2025-09-08,12.79,13.02,13.2,12.75,1417135.0
2025-09-09,12.95,12.79,12.97,12.7,895970.0
2025-09-10,12.79,12.67,12.86,12.65,707371.0
2025-09-11,12.63,13.04,13.07,12.5,1604400.0
2025-09-12,13.0,12.81,13.07,12.77,1028800.0
2025-09-15,12.8,12.83,12.93,12.77,712689.0
2025-09-16,12.84,12.72,12.86,12.64,733230.0
2025-09-17,12.72,12.8,12.81,12.66,763267.0
2025-09-18,12.79,12.51,12.79,12.38,1404639.0
2025-09-19,12.45,12.4,12.54,12.34,761849.0
2025-09-22,12.34,12.29,12.4,12.22,593374.0
2025-09-23,12.28,12.22,12.3,11.97,873824.0
2025-09-24,12.27,12.4,12.41,12.17,742421.0
2025-09-25,12.39,12.31,12.44,12.3,559149.0
2025-09-26,12.28,12.27,12.38,12.18,556401.0
2025-09-29,12.27,12.34,12.37,12.1,663842.0
2025-09-30,12.33,12.26,12.4,12.26,569145.0
2025-10-09,12.25,12.69,12.69,12.15,1298159.0
2025-10-10,12.69,12.58,12.71,12.5,736829.0
2025-10-13,12.31,12.44,12.48,12.24,740723.0
2025-10-14,12.47,12.58,12.75,12.44,962873.0
2025-10-15,12.58,12.6,12.64,12.44,849598.0
2025-10-16,12.56,12.44,12.61,12.39,563369.0
2025-10-17,12.39,12.47,12.6,12.29,871044.0
2025-10-20,12.49,12.26,12.54,12.2,713126.0
2025-10-21,12.27,12.25,12.29,12.2,551657.0
2025-10-22,12.21,12.12,12.23,12.1,504411.0
2025-10-23,12.12,12.19,12.2,12.06,396744.0
2025-10-24,12.19,12.14,12.27,12.13,438581.0
2025-10-27,12.17,12.24,12.25,12.16,550762.0
2025-10-28,12.1,12.16,12.21,11.99,749087.0
2025-10-29,12.14,12.09,12.15,12.02,594802.0
2025-10-30,12.09,12.03,12.21,12.0,678517.0
2025-10-31,12.06,12.17,12.23,12.03,678600.0
2025-11-03,12.17,12.13,12.21,12.04,512264.0
2025-11-04,12.11,11.96,12.11,11.94,622445.0
2025-11-05,11.92,11.97,12.04,11.89,387295.0
2025-11-06,11.96,11.98,11.99,11.92,381510.0
2025-11-07,11.95,11.98,12.04,11.92,365602.0
2025-11-10,11.98,12.39,12.46,11.96,1250284.0
2025-11-11,12.39,12.32,12.39,12.24,576565.0
2025-11-12,12.37,12.2,12.37,12.17,485035.0
2025-11-13,12.22,12.23,12.27,12.18,482360.0
2025-11-14,12.2,12.17,12.4,12.17,568965.0
2025-11-17,12.15,12.07,12.18,12.03,454248.0
2025-11-18,12.06,12.05,12.11,12.02,388758.0
2025-11-19,12.05,11.94,12.08,11.92,462108.0
2025-11-20,11.95,11.83,11.99,11.83,480715.0
2025-11-21,11.82,11.61,11.87,11.52,715887.0
2025-11-24,11.64,11.47,11.71,11.47,683999.0
2025-11-25,11.49,11.51,11.54,11.37,489969.0
2025-11-26,11.47,11.35,11.55,11.32,617941.0
2025-11-27,11.34,11.32,11.39,11.23,389598.0
2025-11-28,11.33,11.42,11.45,11.27,350161.0
2025-12-01,11.4,11.49,11.5,11.37,448868.0
2025-12-02,11.47,11.42,11.48,11.41,253211.0
2025-12-03,11.42,11.27,11.45,11.25,337410.0
2025-12-04,11.31,11.15,11.31,11.13,352256.0
2025-12-05,11.15,11.22,11.22,11.05,467963.0
2025-12-08,11.23,11.32,11.44,11.23,398930.0
2025-12-09,11.33,11.22,11.33,11.19,322510.0
2025-12-10,11.21,11.15,11.22,11.06,415476.0
2025-12-11,11.15,10.93,11.15,10.93,501205.0
2025-12-12,10.92,11.03,11.06,10.83,546529.0
2025-12-15,11.0,10.96,11.06,10.95,383613.0
2025-12-16,10.93,10.89,11.04,10.85,492129.0
2025-12-17,10.85,11.16,11.19,10.84,695950.0
2025-12-18,11.11,11.11,11.17,11.09,324742.0
2025-12-19,11.11,11.28,11.35,11.11,512234.0
2025-12-22,11.26,11.26,11.32,11.22,319601.0
2025-12-23,11.27,11.05,11.27,11.02,506599.0
2025-12-24,11.05,11.04,11.09,10.98,363022.0
2025-12-25,11.07,11.06,11.09,10.97,388589.0
2025-12-26,11.06,11.05,11.11,11.01,316541.0
2025-12-29,11.04,10.95,11.05,10.93,384971.0
2025-12-30,10.91,10.95,11.03,10.85,435725.0
2025-12-31,10.92,10.9,11.0,10.88,351810.0
2026-01-05,10.89,11.1,11.12,10.88,632077.0
2026-01-06,11.11,11.32,11.4,11.11,929910.0
2026-01-07,11.32,11.18,11.33,11.13,597931.0
2026-01-08,11.17,11.23,11.29,11.11,501058.0
2026-01-09,11.22,11.34,11.4,11.2,623895.0
2026-01-12,11.33,11.55,11.57,11.32,923473.0
2026-01-13,11.58,11.76,12.07,11.46,1980290.0
2026-01-14,11.73,11.64,11.96,11.51,1478823.0
2026-01-15,11.62,11.67,11.95,11.56,1004428.0
2026-01-16,11.7,11.38,11.72,11.35,930838.0
2026-01-19,11.32,11.33,11.45,11.27,618097.0
2026-01-20,11.33,11.32,11.4,11.28,566743.0
2026-01-21,11.31,11.2,11.33,11.19,678793.0
2026-01-22,11.23,11.18,11.26,11.15,557748.0
2026-01-23,11.18,11.3,11.34,11.18,761343.0
2026-01-26,11.32,11.31,11.41,11.2,878922.0
2026-01-27,11.3,11.12,11.32,11.08,722599.0
2026-01-28,11.11,11.03,11.15,11.02,725643.0
2026-01-29,11.03,11.41,11.44,10.93,1282561.0
2026-01-30,11.32,11.07,11.39,11.02,1230919.0
2026-02-02,11.08,10.9,11.22,10.86,1033562.0
2026-02-03,10.95,11.04,11.06,10.88,618427.0
2026-02-04,11.0,11.23,11.29,10.95,850599.0
2026-02-05,11.25,11.51,11.64,11.22,1704923.0
2026-02-06,11.0,11.07,11.18,10.91,1666224.0
2026-02-09,10.96,10.74,10.96,10.56,1996145.0
2026-02-10,10.7,10.7,10.75,10.63,774554.0
2026-02-11,10.7,10.72,10.79,10.67,617644.0
2026-02-12,10.7,10.61,10.72,10.6,592749.0
2026-02-13,10.59,10.33,10.62,10.31,1204395.0
2026-02-24,10.54,10.64,10.67,10.49,840810.0
2026-02-25,10.65,10.7,10.76,10.61,669320.0
2026-02-26,10.69,10.59,10.7,10.56,443325.0
2026-02-27,10.57,10.6,10.62,10.54,391549.0
2026-03-02,10.46,10.39,10.52,10.34,714358.0
2026-03-03,10.39,10.34,10.52,10.31,817215.0
2026-03-04,10.26,10.15,10.3,10.13,558295.0
2026-03-05,10.26,10.18,10.29,10.15,450628.0
2026-03-06,10.14,10.32,10.34,10.12,451568.0
2026-03-09,10.22,10.26,10.29,10.18,428285.0
2026-03-10,10.33,10.34,10.37,10.3,450527.0
2026-03-11,10.35,10.29,10.37,10.25,443771.0
2026-03-12,10.29,10.15,10.29,10.13,647851.0
2026-03-13,10.15,10.16,10.23,10.07,438939.0
2026-03-16,10.13,10.29,10.3,10.11,539883.0
2026-03-17,10.29,10.27,10.42,10.26,512607.0
2026-03-18,10.25,10.21,10.29,10.12,430502.0
2026-03-19,10.15,10.11,10.17,10.08,428592.0
2026-03-20,10.1,9.98,10.15,9.95,513035.0
2026-03-23,9.87,9.6,9.88,9.56,757735.0
2026-03-24,9.7,9.69,9.75,9.62,407551.0
2026-03-25,9.7,9.72,9.75,9.68,420610.0
2026-03-26,9.7,9.58,9.72,9.55,307327.0
