date,open,high,low,close,volume
2025-12-25,6.28,6.28,6.31,6.24,659355.0
2025-12-26,6.26,6.26,6.3,6.25,719823.0
2025-12-29,6.26,6.19,6.29,6.18,1204081.0
2025-12-30,6.18,6.09,6.18,6.09,1146756.0
2025-12-31,6.13,6.1,6.15,6.08,826207.0
2026-01-05,6.11,6.32,6.38,6.1,2518587.0
2026-01-06,6.3,6.48,6.55,6.28,2481515.0
2026-01-07,6.47,6.39,6.51,6.38,1428529.0
2026-01-08,6.38,6.59,6.64,6.34,2255804.0
2026-01-09,6.57,6.57,6.63,6.49,1719972.0
2026-01-12,6.52,6.51,6.58,6.49,1497822.0
2026-01-13,6.51,6.47,6.61,6.46,1690112.0
2026-01-14,6.45,6.29,6.53,6.27,2541573.0
2026-01-15,6.33,6.39,6.52,6.32,2225473.0
2026-01-16,6.42,6.23,6.44,6.21,1950013.0
2026-01-19,6.21,6.26,6.3,6.16,1200884.0
2026-01-20,6.29,6.53,6.68,6.28,4203054.0
2026-01-21,6.51,6.5,6.57,6.43,2109064.0
2026-01-22,6.51,6.58,6.65,6.42,5202004.0
2026-01-23,6.56,6.71,6.74,6.51,3682661.0
2026-01-26,6.66,6.65,6.76,6.62,2403962.0
2026-01-27,6.66,6.6,6.7,6.54,1938735.0
2026-01-28,6.66,6.8,6.9,6.64,3581218.0
2026-01-29,6.79,7.11,7.2,6.76,4383627.0
2026-01-30,7.05,6.81,7.08,6.79,3217337.0
2026-02-02,6.7,6.63,6.87,6.62,2223224.0
2026-02-03,6.7,6.8,6.81,6.67,1674394.0
2026-02-04,6.76,7.19,7.22,6.75,3972900.0
2026-02-05,7.14,7.17,7.25,7.11,1909350.0
2026-02-06,7.11,6.98,7.15,6.97,1909757.0
2026-02-09,7.01,7.08,7.29,6.99,2339192.0
2026-02-10,7.06,6.89,7.08,6.88,1840711.0
2026-02-11,6.87,6.88,6.92,6.82,974946.0
2026-02-12,6.89,6.81,6.97,6.81,1065897.0
2026-02-13,6.83,6.74,6.85,6.71,1143216.0
2026-02-24,6.75,6.79,6.82,6.71,1093562.0
2026-02-25,6.8,6.96,7.11,6.8,2474660.0
2026-02-26,6.93,6.77,6.95,6.74,1848267.0
2026-02-27,6.77,6.8,6.82,6.74,870675.0
2026-03-02,6.72,6.79,6.9,6.7,1519497.0
2026-03-03,6.78,6.68,6.84,6.67,1447820.0
2026-03-04,6.66,6.59,6.7,6.52,1693979.0
2026-03-05,6.65,6.57,6.68,6.54,1067231.0
2026-03-06,6.55,6.53,6.58,6.41,1544133.0
2026-03-09,6.42,6.35,6.44,6.28,1749624.0
2026-03-10,6.38,6.35,6.4,6.31,991203.0
2026-03-11,6.34,6.39,6.43,6.32,953730.0
2026-03-12,6.38,6.39,6.45,6.35,1097309.0
2026-03-13,6.43,6.46,6.65,6.43,2056458.0
2026-03-16,6.5,6.46,6.61,6.45,1255869.0
2026-03-17,6.48,6.5,6.64,6.47,1847806.0
2026-03-18,6.5,6.36,6.51,6.34,1389338.0
2026-03-19,6.31,6.24,6.35,6.22,1021317.0
2026-03-20,6.25,6.16,6.28,6.16,770753.0
2026-03-23,6.11,5.92,6.11,5.9,1543434.0
2026-03-24,5.97,5.97,6.0,5.88,970851.0
2026-03-25,5.97,6.01,6.03,5.95,908293.0
