date,open,high,low,close,volume
2025-03-25 14:30:00,101.370,101.450,100.490,100.800,613209
2025-03-25 15:00:00,100.780,100.990,100.000,100.500,1046665
2025-03-26 10:00:00,101.000,103.100,100.980,102.150,1639054
2025-03-26 10:30:00,102.140,103.380,101.710,101.900,1175755
2025-03-26 11:00:00,101.900,102.220,101.350,102.070,315699
2025-03-26 11:30:00,101.970,102.200,100.520,100.810,469931
2025-03-26 13:30:00,100.800,101.100,97.600,98.770,1130035
2025-03-26 14:00:00,98.770,99.650,98.600,99.170,481097
2025-03-26 14:30:00,99.170,99.200,98.640,98.710,427897
2025-03-26 15:00:00,98.710,98.710,96.870,97.260,1478632
2025-03-27 10:00:00,96.500,98.270,95.390,97.090,1743066
2025-03-27 10:30:00,97.090,98.370,96.950,97.330,750488
2025-03-27 11:00:00,97.330,100.000,96.960,98.840,1072998
2025-03-27 11:30:00,98.800,99.410,98.500,98.800,532285
2025-03-27 13:30:00,98.800,99.900,98.580,99.240,506996
2025-03-27 14:00:00,99.260,99.530,98.580,98.760,371269
2025-03-27 14:30:00,98.720,99.110,98.590,98.740,298052
2025-03-27 15:00:00,98.740,98.740,97.920,97.920,508591
2025-03-28 10:00:00,97.840,100.580,96.880,97.600,1751881
2025-03-28 10:30:00,97.300,97.900,95.880,96.160,748644
2025-03-28 11:00:00,96.160,96.600,94.880,95.490,1002683
2025-03-28 11:30:00,95.490,95.800,94.880,95.430,499674
2025-03-28 13:30:00,95.430,97.000,95.400,95.920,482836
2025-03-28 14:00:00,95.970,97.000,95.960,96.830,257746
2025-03-28 14:30:00,96.830,98.180,96.730,97.010,435910
2025-03-28 15:00:00,96.870,97.710,96.800,96.860,499387
2025-03-31 10:00:00,96.200,99.460,95.800,98.820,1702948
2025-03-31 10:30:00,98.820,99.000,97.490,97.490,660268
2025-03-31 11:00:00,97.490,98.120,97.100,97.370,319577
2025-03-31 11:30:00,97.340,97.400,96.510,96.600,322516
2025-03-31 13:30:00,96.520,97.500,96.160,97.250,244597
2025-03-31 14:00:00,97.150,97.350,96.350,96.650,182638
2025-03-31 14:30:00,96.630,98.430,96.430,97.700,369156
2025-03-31 15:00:00,97.700,98.790,97.510,98.320,798094
2025-04-01 10:00:00,99.000,99.370,96.900,98.000,872740
2025-04-01 10:30:00,98.000,98.620,97.800,97.960,446961
2025-04-01 11:00:00,97.870,99.000,97.870,98.240,475255
2025-04-01 11:30:00,98.150,98.770,97.720,98.370,325486
2025-04-01 13:30:00,98.550,100.410,98.230,99.400,1376734
2025-04-01 14:00:00,99.310,99.480,98.750,99.400,296376
2025-04-01 14:30:00,99.470,99.550,98.300,99.020,342084
2025-04-01 15:00:00,99.100,99.170,98.300,98.390,360769
2025-04-02 10:00:00,97.800,98.340,95.500,96.450,1257159
2025-04-02 10:30:00,96.450,97.200,96.280,96.880,324536
2025-04-02 11:00:00,96.880,96.880,96.070,96.200,306008
2025-04-02 11:30:00,96.100,96.300,95.450,95.610,460294
2025-04-02 13:30:00,95.650,95.990,95.100,95.390,401417
2025-04-02 14:00:00,95.380,95.400,94.480,94.490,625980
2025-04-02 14:30:00,94.450,94.500,93.390,93.700,689643
2025-04-02 15:00:00,93.710,95.550,93.000,94.350,978865
2025-04-03 10:00:00,93.410,98.780,93.280,97.540,3099754
2025-04-03 10:30:00,97.500,98.000,96.310,97.130,826335
2025-04-03 11:00:00,97.170,97.180,96.540,96.640,219251
2025-04-03 11:30:00,96.600,96.640,95.630,95.850,305329
2025-04-03 13:30:00,95.880,95.880,95.050,95.080,326525
2025-04-03 14:00:00,95.080,95.820,94.600,95.630,262192
2025-04-03 14:30:00,95.630,96.710,95.630,96.320,319479
2025-04-03 15:00:00,96.390,96.420,95.700,95.840,303861
2025-04-07 10:00:00,90.010,96.550,90.010,94.160,2629893
2025-04-07 10:30:00,94.160,95.900,93.000,94.990,991898
