date,open,high,low,close,volume
2025-12-31,143.7,143.8,142.4,142.8,35628222
2026-01-02,143.2,149.7,142.9,149.0,48902470
2026-01-05,151.1,153.8,150.0,152.8,102834720
2026-01-06,150.9,153.2,150.5,150.8,112004139
2026-01-07,147.1,147.8,143.5,145.9,149677478
2026-01-08,143.6,144.9,141.0,142.6,107421412
2026-01-09,148.0,149.5,145.9,146.5,115234256
2026-01-12,146.9,154.6,146.0,154.3,164580300
2026-01-13,162.0,164.0,157.4,159.9,153153842
2026-01-14,163.8,169.8,162.1,169.0,244622843
2026-01-15,168.9,170.1,163.1,164.6,133061563
2026-01-16,167.9,168.7,165.0,166.2,79370877
2026-01-19,162.0,162.5,160.1,160.4,72500898
2026-01-20,159.8,162.2,158.6,159.7,55456218
2026-01-21,158.3,164.9,158.3,163.2,67441221
2026-01-22,166.0,166.5,162.8,164.8,59810988
2026-01-23,171.2,172.0,168.3,168.5,93252549
2026-01-26,169.5,170.2,164.5,165.2,67819829
2026-01-27,166.8,169.9,164.9,169.9,73661350
2026-01-28,170.5,173.8,168.6,173.5,102209414
2026-01-29,171.1,174.2,170.3,173.3,67539478
2026-01-30,170.0,170.7,167.0,169.2,75134065
2026-02-02,164.7,167.9,161.0,163.3,100747598
2026-02-03,165.4,166.0,155.2,161.0,111086312
2026-02-04,159.4,162.3,157.1,159.5,71689072
2026-02-05,155.5,160.4,154.0,159.6,89720504
2026-02-06,153.5,156.8,153.2,155.0,78125091
2026-02-09,159.5,160.2,157.6,157.9,58582947
2026-02-10,159.7,162.6,158.7,160.5,58402811
2026-02-11,161.3,162.7,159.6,160.1,51639528
2026-02-12,157.9,159.5,156.1,158.6,56768511
2026-02-13,154.0,156.4,153.9,155.4,69945660
2026-02-16,152.6,154.9,150.5,154.7,29215118
2026-02-20,150.0,151.7,147.1,147.1,70273864
2026-02-23,150.1,153.3,149.5,152.2,44852186
2026-02-24,149.9,150.4,147.0,148.0,82838070
2026-02-25,149.8,150.2,148.1,148.3,47742854
2026-02-26,148.3,148.8,143.0,143.0,98872855
2026-02-27,143.0,145.5,142.2,142.9,88719769
2026-03-02,139.6,140.5,135.6,136.4,134838521
2026-03-03,139.0,139.2,134.6,134.8,88507248
2026-03-04,131.2,133.0,127.7,129.9,163124992
2026-03-05,130.5,131.4,125.1,126.3,141677427
2026-03-06,126.9,132.0,126.5,130.7,100859931
2026-03-09,125.2,129.4,125.1,128.7,102893047
2026-03-10,131.0,134.2,130.0,133.5,98445281
2026-03-11,135.5,136.1,132.4,133.2,61695884
2026-03-12,130.6,133.5,129.6,131.6,57889342
2026-03-13,131.3,134.6,130.4,132.5,51862084
2026-03-16,132.9,135.1,130.8,134.0,50025123
2026-03-17,135.2,138.5,134.6,134.6,76247583
2026-03-18,134.4,140.2,133.1,137.7,108384226
2026-03-19,132.7,134.2,131.2,132.0,112049539
2026-03-20,123.5,126.8,122.4,123.7,206068855
2026-03-23,120.8,121.6,117.7,119.7,136352855
2026-03-24,122.0,124.0,119.8,123.2,86973171
2026-03-25,125.2,131.4,123.4,128.9,148277825
2026-03-26,128.0,128.0,122.6,123.0,87500096
2026-03-27,123.0,124.1,121.4,122.6,53442572
2026-03-30,118.2,120.2,117.9,119.7,38732973
