date,open,high,low,close,volume
2024-01-30,6.4598559,6.50666645,6.38495902,6.39432113,40737046
2024-01-31,6.37559691,6.44113168,6.31006214,6.39432113,45661999
2024-02-01,6.39432113,6.44113168,6.34751058,6.3662348,44252421
2024-02-02,6.38495902,6.47858012,6.29133792,6.40368324,59482913
2024-02-05,6.40368324,6.47858012,6.32878636,6.45049379,82713695
2024-02-06,6.45049379,6.553477,6.42240746,6.553477,71683218
2024-02-07,6.57220122,6.58156333,6.41304535,6.49730434,83731296
2024-02-08,6.50666645,6.52539067,6.38495902,6.51602856,67164744
2024-02-19,6.53475278,6.67518443,6.50666645,6.66582232,57869788
2024-02-20,6.67518443,6.69390865,6.60964966,6.6470981,32408954
2024-02-21,6.65646021,6.85306452,6.63773599,6.77816764,58809554
2024-02-22,6.77816764,6.80625397,6.72199498,6.75008131,33665209
2024-02-23,6.75008131,6.86242663,6.7407192,6.81561608,37939600
2024-02-26,6.79689186,6.81561608,6.63773599,6.6470981,42483070
2024-02-27,6.61901177,6.69390865,6.60964966,6.68454654,24862246
2024-02-28,6.66582232,6.70327076,6.62837388,6.6470981,35826714
2024-02-29,6.65646021,6.71263287,6.63773599,6.69390865,34288217
2024-03-01,6.67518443,6.70327076,6.6470981,6.65646021,29431801
2024-03-04,6.66582232,6.66582232,6.60028755,6.61901177,27855963
2024-03-05,6.60028755,6.72199498,6.59092544,6.70327076,41756232
2024-03-06,6.71263287,6.75944342,6.66582232,6.66582232,25918749
2024-03-07,6.66582232,6.7407192,6.65646021,6.68454654,24690348
2024-03-08,6.66582232,6.71263287,6.65646021,6.66582232,19861794
2024-03-11,6.67518443,6.71263287,6.60964966,6.65646021,26195498
2024-03-12,6.65646021,6.69390865,6.62837388,6.6470981,29030476
2024-03-13,6.66582232,6.66582232,6.58156333,6.59092544,25948461
2024-03-14,6.59092544,6.63773599,6.58156333,6.59092544,18703556
2024-03-15,6.59092544,6.63773599,6.58156333,6.63773599,29599544
2024-03-18,6.60964966,6.67518443,6.60964966,6.63773599,26558472
2024-03-19,6.62837388,6.62837388,6.56283911,6.56283911,22848715
2024-03-20,6.56283911,6.60964966,6.53475278,6.58156333,19542993
2024-03-21,6.60964966,6.67518443,6.58156333,6.6470981,41924870
2024-03-22,6.62837388,6.66582232,6.51602856,6.59092544,35960453
2024-03-25,6.60964966,6.63773599,6.56283911,6.60964966,24439536
2024-03-26,6.63773599,6.69390865,6.61901177,6.69390865,35111522
2024-03-27,6.68454654,6.76880553,6.65646021,6.71263287,41943066
2024-03-28,6.73135709,6.7407192,6.65646021,6.71263287,34535966
2024-03-29,6.67518443,6.73135709,6.65646021,6.67518443,18138885
2024-04-01,6.69390865,6.77816764,6.68454654,6.76880553,36028832
2024-04-02,6.77816764,6.84370241,6.75944342,6.80625397,35095170
2024-04-03,6.76880553,6.81561608,6.73135709,6.76880553,25254107
2024-04-08,6.76880553,6.85306452,6.73135709,6.81561608,32764493
2024-04-09,6.82497819,6.85306452,6.78752975,6.79689186,20335543
2024-04-10,6.79689186,6.86242663,6.76880553,6.80625397,22436726
2024-04-11,6.76880553,6.81561608,6.73135709,6.77816764,25364241
2024-04-12,6.7407192,6.79689186,6.66582232,6.67518443,32809731
2024-04-15,6.66582232,6.8343403,6.66582232,6.8343403,48310304
2024-04-16,6.78752975,6.85306452,6.75008131,6.79689186,40203325
2024-04-17,6.79689186,6.88115085,6.72199498,6.87178874,43151857
2024-04-18,6.87178874,6.98413406,6.84370241,6.86242663,46822476
2024-04-19,6.85306452,6.9279614,6.79689186,6.87178874,38004160
2024-04-22,6.89051296,6.95604773,6.81561608,6.82497819,32694690
2024-04-23,6.85306452,6.9279614,6.78752975,6.87178874,44055644
2024-04-24,6.90923718,6.9279614,6.8343403,6.89051296,24758859
2024-04-25,6.86242663,6.94668562,6.84370241,6.93732351,24676934
2024-04-26,6.93732351,7.00285828,6.88115085,6.94668562,45846571
2024-04-29,6.91859929,7.04030672,6.8343403,6.94668562,39317757
2024-04-30,7.09647938,7.33989424,7.07775516,7.2088247,105472788
2024-05-06,7.32117002,7.38670479,7.25563525,7.34925635,85937325
2024-05-07,7.34925635,7.35861846,7.22754892,7.32117002,46269505
2024-05-08,7.31180791,7.34925635,7.28372158,7.3024458,30377893
2024-05-09,7.3024458,7.34925635,7.26499736,7.3024458,33942090
2024-05-10,7.31180791,7.44287745,7.3024458,7.43351534,52211612
2024-05-13,7.42415323,7.47096378,7.36798057,7.45223956,40422120
2024-05-14,7.46160167,7.47096378,7.35861846,7.37734268,39843641
2024-05-15,7.3960669,7.42415323,7.33989424,7.38670479,31039103
2024-05-16,7.41479112,7.53649855,7.37734268,7.50841222,60658707
2024-05-17,7.52713644,7.63948176,7.489688,7.63948176,69438051
2024-05-20,7.6769302,7.81736185,7.63011965,7.78927552,88144991
2024-05-21,7.77991341,7.88289662,7.73310286,7.88289662,53146295
2024-05-22,7.87353451,8.07013882,7.84544818,7.98587983,71173213
2024-05-23,7.97651772,8.0514146,7.93906928,7.97651772,61212293
2024-05-24,7.96715561,8.04205249,7.87353451,7.90162084,60740601
2024-05-27,7.91098295,8.01396616,7.89225873,7.99524194,52858689
2024-05-28,8.03269038,8.08886304,7.96715561,7.99524194,40047322
2024-05-29,7.98587983,8.04205249,7.91098295,7.94843139,40802385
2024-05-30,7.92970717,8.00460405,7.82672396,7.8641724,56701595
2024-05-31,7.91098295,7.91098295,7.77991341,7.80799974,53797304
2024-06-03,7.7705513,7.79863763,7.66756809,7.75182708,60213694
2024-06-04,7.75182708,7.80799974,7.70501653,7.78927552,39800453
2024-06-05,7.79863763,7.80799974,7.73310286,7.76118919,31295787
2024-06-06,7.77991341,7.81736185,7.71437864,7.72374075,34149589
2024-06-07,7.78927552,7.84544818,7.6769302,7.77991341,41451677
2024-06-11,7.80799974,7.82672396,7.59267121,7.63011965,41132394
2024-06-12,7.63011965,7.64884387,7.52713644,7.59267121,38617741
2024-06-13,7.5833091,7.6769302,7.57394699,7.61139543,40433704
2024-06-14,7.5833091,7.65820598,7.48032589,7.62075754,44463016
2024-06-17,7.63011965,7.63948176,7.51777433,7.5833091,36278423
2024-06-18,7.5833091,7.63011965,7.50841222,7.57394699,32876191
2024-06-19,7.5833091,7.73310286,7.57394699,7.69565442,40605109
2024-06-20,7.65820598,7.73310286,7.63011965,7.6769302,25662317
2024-06-21,7.6769302,7.70501653,7.60203332,7.64884387,40011366
2024-06-24,7.66756809,7.6769302,7.51777433,7.63011965,37046666
2024-06-25,7.65820598,7.72374075,7.57394699,7.6769302,39818093
2024-06-26,7.6769302,7.70501653,7.61139543,7.68629231,33563736
2024-06-27,7.68629231,7.7705513,7.61139543,7.69565442,44561528
2024-06-28,7.69565442,7.76118919,7.64884387,7.70501653,37799680
2024-07-01,7.69565442,7.7705513,7.6769302,7.75182708,28732962
2024-07-02,7.74246497,7.99524194,7.74246497,7.98587983,57345810
2024-07-03,7.98587983,8.0514146,7.93906928,7.98587983,46409668
2024-07-04,8.04205249,8.07950093,7.93906928,7.9577935,44412066
2024-07-05,7.99524194,8.00460405,7.76118919,7.80799974,51997018
2024-07-08,7.80799974,7.94843139,7.73310286,7.89225873,45320796
2024-07-09,7.92970717,8.10758726,7.87353451,8.08886304,54534187
2024-07-10,8.08886304,8.16375992,8.0514146,8.13567359,40604560
2024-07-11,8.15439781,8.17312203,8.01396616,8.0514146,34946181
2024-07-12,8.07950093,8.28546735,8.06077671,8.27610524,57267692
2024-07-15,8.26674313,8.34164001,8.2386568,8.31355368,46191487
2024-07-16,8.30419157,8.37908845,8.25738102,8.29482946,44680322
2024-07-17,8.3322779,8.49143377,8.29482946,8.46334744,88119289
