date,open,high,low,close,volume,amount
2025-11-10,102.0,103.6,101.2,103.3,30303643.0,3112785548.0
2025-11-11,103.3,104.4,100.6,102.0,41269159.0,4197723581.0
2025-11-12,102.0,102.4,100.8,101.8,24968884.0,2537600016.0
2025-11-13,101.0,103.0,99.5,102.1,33815896.0,3421970520.0
2025-11-14,100.6,101.6,99.5,100.0,35419273.0,3545426568.0
2025-11-17,99.5,102.5,99.5,100.3,28915570.0,2907676038.0
2025-11-18,99.35,100.1,98.05,98.6,33786187.0,3335585514.0
2025-11-19,98.65,99.65,97.7,98.0,25108369.0,2468961726.0
2025-11-20,98.95,99.4,97.2,98.5,24966349.0,2453894932.0
2025-11-21,97.0,97.25,95.15,95.55,46164332.0,4433509373.0
2025-11-24,96.05,98.6,95.65,98.15,38950345.0,3810237349.0
2025-11-25,99.2,99.6,97.45,98.25,29485452.0,2900235574.0
2025-11-26,102.4,105.2,102.1,103.8,128129815.0,13326934186.0
2025-11-27,103.6,104.8,101.9,104.0,58022656.0,6003642459.0
2025-11-28,104.5,104.8,102.3,102.5,43785936.0,4522753722.0
2025-12-01,100.1,103.4,98.6,99.55,86464495.0,8686237171.0
2025-12-02,99.5,99.7,95.7,96.5,80744936.0,7831610695.0
2025-12-03,96.5,97.4,95.4,95.9,39051180.0,3751362894.0
2025-12-04,96.8,98.8,96.25,98.1,49912883.0,4876753385.0
2025-12-05,97.6,99.75,96.65,99.05,44529788.0,4375516456.0
2025-12-08,98.4,101.2,98.4,99.5,31145522.0,3102147104.0
2025-12-09,99.5,99.7,97.2,97.35,36058225.0,3530965460.0
2025-12-10,98.4,100.5,97.65,100.0,51497713.0,5117375615.0
2025-12-11,100.2,102.0,99.8,101.5,41406607.0,4188543769.0
2025-12-12,102.0,104.0,101.4,102.4,85213513.0,8775018771.0
2025-12-15,101.6,102.8,100.5,100.9,38535431.0,3912560231.0
2025-12-16,100.2,101.3,98.65,99.5,32115324.0,3197773753.0
2025-12-17,99.6,103.0,98.9,101.3,38155110.0,3857350663.0
2025-12-18,100.7,102.1,100.2,101.4,22759882.0,2299834130.0
2025-12-19,102.2,104.5,101.7,102.7,50727640.0,5225878129.0
2025-12-22,104.2,105.2,102.4,102.8,31556484.0,3259380430.0
2025-12-23,103.7,104.0,102.5,103.2,21108052.0,2176705961.0
2025-12-24,102.8,104.2,102.7,103.2,12043868.0,1245784801.0
2025-12-29,104.0,106.7,103.8,104.2,56811243.0,5981620110.0
2025-12-30,104.0,105.1,103.7,104.3,32946951.0,3440189361.0
2025-12-31,103.7,104.3,102.5,103.3,21806552.0,2247874001.0
2026-01-02,103.3,105.8,102.2,104.6,24476486.0,2563068459.0
2026-01-05,104.2,106.2,103.7,105.4,40887247.0,4296123546.0
2026-01-06,106.2,108.0,105.7,106.1,47681423.0,5099690915.0
