date,open,high,low,close,volume
2026-02-05 10:00:00,75.58,75.66,74.51,74.54,56366
2026-02-05 10:30:00,74.53,74.53,74.01,74.25,44173
2026-02-05 11:00:00,74.21,74.36,74.06,74.2,16703
2026-02-05 11:30:00,74.21,74.36,74.02,74.03,16327
2026-02-05 13:30:00,74.01,74.15,73.75,74.09,26540
2026-02-05 14:00:00,74.08,74.92,74.01,74.58,31629
2026-02-05 14:30:00,74.58,74.66,74.36,74.43,15643
2026-02-05 15:00:00,74.44,74.62,74.43,74.53,19921
2026-02-06 10:00:00,73.84,74.43,73.39,74.07,39757
2026-02-06 10:30:00,74.07,75.14,74.01,75.08,36384
2026-02-06 11:00:00,75.07,75.17,74.93,75.03,27868
2026-02-06 11:30:00,75.04,75.28,74.77,75.02,21949
2026-02-06 13:30:00,75.02,75.19,74.78,74.9,17643
2026-02-06 14:00:00,74.9,75.23,74.88,75.16,18779
2026-02-06 14:30:00,75.16,75.25,74.95,75.06,22145
2026-02-06 15:00:00,75.05,75.1,74.65,74.65,29839
2026-02-09 10:00:00,75.36,76.96,75.35,75.99,96376
2026-02-09 10:30:00,76.0,77.33,75.86,77.0,72896
2026-02-09 11:00:00,77.0,77.19,76.73,76.81,29313
2026-02-09 11:30:00,76.81,76.92,76.45,76.47,16250
2026-02-09 13:30:00,76.46,76.78,76.28,76.77,19349
2026-02-09 14:00:00,76.74,76.88,76.65,76.71,13578
2026-02-09 14:30:00,76.72,76.93,76.71,76.79,16976
2026-02-09 15:00:00,76.78,76.91,76.78,76.85,25956
2026-02-10 10:00:00,76.8,78.47,76.53,78.16,92203
2026-02-10 10:30:00,78.16,78.49,77.59,77.61,59658
2026-02-10 11:00:00,77.61,77.98,77.58,77.88,34162
2026-02-10 11:30:00,77.88,78.18,77.88,77.94,19543
2026-02-10 13:30:00,77.89,78.49,77.7,78.2,33044
2026-02-10 14:00:00,78.2,78.59,78.11,78.42,35182
2026-02-10 14:30:00,78.42,78.43,78.22,78.41,19891
2026-02-10 15:00:00,78.4,78.5,78.36,78.37,29847
2026-02-11 10:00:00,78.0,78.0,76.21,76.31,109134
2026-02-11 10:30:00,76.31,76.38,75.85,76.07,60195
2026-02-11 11:00:00,76.05,76.1,75.86,76.04,24507
2026-02-11 11:30:00,76.03,76.03,75.9,75.98,16217
2026-02-11 13:30:00,75.99,76.09,75.6,75.7,40865
2026-02-11 14:00:00,75.68,75.78,75.5,75.5,30733
2026-02-11 14:30:00,75.5,75.51,75.42,75.44,26928
2026-02-11 15:00:00,75.43,75.59,75.38,75.45,37196
2026-02-12 10:00:00,75.35,75.49,74.9,75.12,49339
2026-02-12 10:30:00,75.12,75.6,75.04,75.54,29577
2026-02-12 11:00:00,75.55,75.59,75.32,75.33,17330
2026-02-12 11:30:00,75.38,75.73,75.38,75.61,20080
2026-02-12 13:30:00,75.64,75.76,75.52,75.71,22146
2026-02-12 14:00:00,75.72,75.88,75.71,75.83,17960
2026-02-12 14:30:00,75.82,75.87,75.75,75.79,16986
2026-02-12 15:00:00,75.78,75.85,75.7,75.8,27565
2026-02-13 10:00:00,75.5,75.67,74.92,75.51,41090
2026-02-13 10:30:00,75.5,75.67,75.37,75.37,20718
2026-02-13 11:00:00,75.37,75.43,75.18,75.23,17035
2026-02-13 11:30:00,75.3,75.38,75.08,75.15,14250
2026-02-13 13:30:00,75.2,75.27,75.1,75.21,11749
2026-02-13 14:00:00,75.19,75.64,75.11,75.6,18819
2026-02-13 14:30:00,75.6,75.64,75.16,75.19,21037
2026-02-13 15:00:00,75.2,75.29,75.0,75.12,36728
2026-02-24 10:00:00,77.03,77.11,75.12,75.2,124582
2026-02-24 10:30:00,75.3,75.51,75.03,75.15,35402
2026-02-24 11:00:00,75.13,75.25,75.01,75.17,28036
2026-02-24 11:30:00,75.2,75.21,75.01,75.08,24878
2026-02-24 13:30:00,75.09,75.1,74.58,74.59,43067
2026-02-24 14:00:00,74.59,74.65,74.41,74.44,25830
2026-02-24 14:30:00,74.44,74.46,74.33,74.4,24827
2026-02-24 15:00:00,74.4,74.48,74.34,74.35,38654
2026-02-25 10:00:00,74.28,74.38,73.75,73.78,65766
2026-02-25 10:30:00,73.78,73.78,73.5,73.57,43090
2026-02-25 11:00:00,73.57,73.97,73.42,73.86,35082
2026-02-25 11:30:00,73.86,73.93,73.61,73.93,22994
2026-02-25 13:30:00,73.94,74.44,73.94,74.35,30895
2026-02-25 14:00:00,74.35,74.36,73.94,74.0,28185
2026-02-25 14:30:00,73.99,74.09,73.93,73.96,17370
2026-02-25 15:00:00,73.95,74.26,73.95,74.2,26063
2026-02-26 10:00:00,73.94,74.0,73.38,73.5,60694
2026-02-26 10:30:00,73.5,73.64,73.41,73.42,29543
2026-02-26 11:00:00,73.42,73.64,73.39,73.64,22647
2026-02-26 11:30:00,73.65,74.08,73.62,73.97,21486
2026-02-26 13:30:00,73.98,73.99,73.78,73.81,15824
2026-02-26 14:00:00,73.8,73.83,73.69,73.72,13829
2026-02-26 14:30:00,73.77,73.77,73.61,73.7,20631
2026-02-26 15:00:00,73.7,73.85,73.69,73.8,24259
2026-02-27 10:00:00,73.53,73.87,73.34,73.51,48900
2026-02-27 10:30:00,73.5,73.58,73.47,73.52,19024
2026-02-27 11:00:00,73.52,73.58,73.42,73.42,19865
2026-02-27 11:30:00,73.43,73.56,73.35,73.36,23867
2026-02-27 13:30:00,73.37,73.45,73.35,73.4,15812
2026-02-27 14:00:00,73.39,73.41,72.99,73.04,68775
2026-02-27 14:30:00,73.04,73.05,72.98,73.03,24442
2026-02-27 15:00:00,73.02,73.06,72.82,72.92,50463
2026-03-02 10:00:00,71.75,72.42,71.51,71.93,89768
2026-03-02 10:30:00,71.92,72.0,70.91,71.07,66855
2026-03-02 11:00:00,71.06,71.43,71.02,71.28,23051
2026-03-02 11:30:00,71.28,71.32,71.05,71.18,16417
2026-03-02 13:30:00,71.18,71.86,71.18,71.7,29449
2026-03-02 14:00:00,71.73,71.76,71.6,71.63,15962
2026-03-02 14:30:00,71.63,71.65,71.46,71.52,17225
2026-03-02 15:00:00,71.51,71.61,71.31,71.38,25771
2026-03-03 10:00:00,71.3,71.83,70.78,70.78,73328
2026-03-03 10:30:00,70.77,70.81,69.9,69.94,61785
2026-03-03 11:00:00,69.93,70.36,69.93,70.36,27475
2026-03-03 11:30:00,70.36,70.52,70.12,70.13,20540
2026-03-03 13:30:00,70.14,70.25,69.87,69.88,40794
2026-03-03 14:00:00,69.88,69.99,69.56,69.6,28475
2026-03-03 14:30:00,69.6,69.61,69.1,69.49,38210
2026-03-03 15:00:00,69.5,69.6,69.01,69.01,42541
2026-03-04 10:00:00,68.23,68.74,67.91,68.53,71942
2026-03-04 10:30:00,68.5,69.02,68.32,68.99,42543
2026-03-04 11:00:00,68.98,69.0,68.3,68.31,22976
2026-03-04 11:30:00,68.3,68.31,67.8,67.85,32101
2026-03-04 13:30:00,67.85,68.04,67.62,67.69,23135
2026-03-04 14:00:00,67.66,68.18,67.66,68.0,20344
2026-03-04 14:30:00,67.99,67.99,67.8,67.92,14802
2026-03-04 15:00:00,67.92,68.17,67.89,67.99,28472
2026-03-05 10:00:00,71.4,71.69,69.77,70.01,141515
