date,open,high,low,close,volume
2025-12-25,72.5,73.67,73.87,72.5,258917.0
2025-12-26,73.68,73.3,73.75,72.68,212020.0
2025-12-29,73.45,73.45,74.11,73.08,236948.0
2025-12-30,73.05,76.48,76.69,73.0,526978.0
2025-12-31,76.49,75.33,76.49,75.01,353220.0
2026-01-05,75.56,78.35,79.3,75.1,564529.0
2026-01-06,78.69,78.48,78.8,77.5,376661.0
2026-01-07,78.3,78.03,79.02,77.5,310867.0
2026-01-08,78.4,77.58,79.0,77.26,306489.0
2026-01-09,77.46,78.3,78.98,77.31,330851.0
2026-01-12,79.14,80.85,81.17,78.6,524379.0
2026-01-13,80.82,78.33,80.82,78.28,438200.0
2026-01-14,78.61,77.95,81.36,77.01,556637.0
2026-01-15,77.89,80.84,81.48,77.71,609284.0
2026-01-16,81.17,80.85,82.15,80.51,469662.0
2026-01-19,80.85,80.27,81.55,79.91,321167.0
2026-01-20,80.01,79.38,81.18,78.8,341004.0
2026-01-21,79.15,80.08,81.5,79.09,376061.0
2026-01-22,80.6,79.12,82.59,79.03,362422.0
2026-01-23,79.35,79.38,80.99,79.19,396278.0
2026-01-26,79.5,77.2,80.45,77.2,418630.0
2026-01-27,77.01,78.44,79.7,76.75,347928.0
2026-01-28,78.0,76.41,78.27,75.85,447352.0
2026-01-29,76.44,75.87,77.03,75.68,306046.0
2026-01-30,75.68,74.63,76.08,73.21,336389.0
2026-02-02,74.52,75.04,77.0,74.45,334006.0
2026-02-03,75.51,75.43,75.68,74.22,267412.0
2026-02-04,75.29,75.57,75.78,74.3,218880.0
2026-02-05,75.58,74.53,75.66,73.75,227301.0
2026-02-06,73.84,74.65,75.28,73.39,214363.0
2026-02-09,75.36,76.85,77.33,75.35,290696.0
2026-02-10,76.8,78.37,78.59,76.53,323531.0
2026-02-11,78.0,75.45,78.0,75.38,345775.0
2026-02-12,75.35,75.8,75.88,74.9,200984.0
2026-02-13,75.5,75.12,75.67,74.92,181427.0
2026-02-24,77.03,74.35,77.11,74.33,345275.0
2026-02-25,74.28,74.2,74.44,73.42,269445.0
2026-02-26,73.94,73.8,74.08,73.38,208913.0
2026-02-27,73.53,72.92,73.87,72.82,271148.0
2026-03-02,71.75,71.38,72.42,70.91,284498.0
2026-03-03,71.3,69.01,71.83,69.01,333147.0
2026-03-04,68.23,67.99,69.02,67.62,256315.0
2026-03-05,71.4,70.39,71.69,69.77,375734.0
2026-03-06,70.28,71.47,71.98,70.01,269300.0
2026-03-09,70.89,70.79,71.37,69.96,299026.0
2026-03-10,70.92,71.04,71.62,70.76,250925.0
2026-03-11,71.04,71.15,71.85,70.95,230867.0
2026-03-12,71.07,71.16,71.3,69.8,259199.0
2026-03-13,70.98,72.79,72.79,70.64,411728.0
2026-03-16,71.5,71.8,71.9,70.4,333595.0
2026-03-17,71.93,71.2,72.48,70.82,277423.0
2026-03-18,71.17,70.0,71.48,69.19,280907.0
2026-03-19,69.29,69.23,69.98,69.12,216801.0
2026-03-20,69.09,68.75,69.64,67.75,257872.0
2026-03-23,68.01,65.33,68.26,65.0,305923.0
2026-03-24,67.03,66.1,67.1,65.0,169021.0
2026-03-25,66.59,68.01,68.12,66.12,193831.0
