date,open,high,low,close,volume
2026-02-26 10:00:00,82.7,83.2,81.8,81.9,4747100
2026-02-26 10:30:00,81.9,82.2,81.55,81.65,3059700
2026-02-26 11:00:00,81.65,81.8,81.35,81.45,1983800
2026-02-26 11:30:00,81.45,81.65,81.4,81.55,1630200
2026-02-26 12:00:00,81.6,81.75,81.4,81.45,893800
2026-02-26 13:30:00,81.45,81.5,80.7,80.9,4125200
2026-02-26 14:00:00,80.95,81.1,80.7,80.9,2918900
2026-02-26 14:30:00,80.95,81.05,80.75,80.9,2049000
2026-02-26 15:00:00,80.85,81.2,80.7,81.0,2617500
2026-02-26 15:30:00,81.05,81.05,80.75,80.9,2333600
2026-02-26 16:00:00,80.9,80.95,80.35,80.45,10419900
2026-02-27 10:00:00,81.0,82.25,80.45,81.6,6284800
2026-02-27 10:30:00,81.6,81.75,81.15,81.55,1789900
2026-02-27 11:00:00,81.55,81.9,81.5,81.8,1701100
2026-02-27 11:30:00,81.8,82.45,81.75,82.0,2871900
2026-02-27 12:00:00,82.0,82.2,82.0,82.1,1080900
2026-02-27 13:30:00,82.1,82.25,81.4,81.65,2420100
2026-02-27 14:00:00,81.65,81.85,81.5,81.55,1411700
2026-02-27 14:30:00,81.55,81.7,81.5,81.6,1100600
2026-02-27 15:00:00,81.65,81.8,81.6,81.75,1911100
2026-02-27 15:30:00,81.75,81.8,81.25,81.35,2023200
2026-02-27 16:00:00,81.3,81.6,81.15,81.15,13320700
2026-03-02 10:00:00,79.75,80.2,78.8,79.1,8171900
2026-03-02 10:30:00,79.05,79.3,78.25,78.5,5881100
2026-03-02 11:00:00,78.55,79.1,78.4,78.45,2827800
2026-03-02 11:30:00,78.45,78.75,78.3,78.7,2971700
2026-03-02 12:00:00,78.7,79.0,78.7,78.8,2031500
2026-03-02 13:30:00,78.7,78.8,78.3,78.4,2746900
2026-03-02 14:00:00,78.4,78.65,78.1,78.2,3238900
2026-03-02 14:30:00,78.2,78.4,77.7,77.8,6845200
2026-03-02 15:00:00,77.8,77.9,77.6,77.7,3671200
2026-03-02 15:30:00,77.65,77.65,77.1,77.15,5597900
2026-03-02 16:00:00,77.15,77.55,77.1,77.4,9724600
2026-03-03 10:00:00,77.25,77.75,76.7,77.15,9131100
2026-03-03 10:30:00,77.15,77.45,76.6,77.2,4668400
2026-03-03 11:00:00,77.25,78.15,77.2,77.5,5510800
2026-03-03 11:30:00,77.5,77.7,76.5,76.55,3818600
2026-03-03 12:00:00,76.55,76.65,76.25,76.45,2926100
2026-03-03 13:30:00,76.4,76.45,75.6,75.8,6108300
2026-03-03 14:00:00,75.8,76.0,75.35,75.45,5012600
2026-03-03 14:30:00,75.45,75.75,75.35,75.7,4426500
2026-03-03 15:00:00,75.7,75.75,75.4,75.55,3923500
2026-03-03 15:30:00,75.55,75.65,75.4,75.6,4165500
2026-03-03 16:00:00,75.55,75.7,75.35,75.65,11642600
2026-03-04 10:00:00,74.75,75.0,73.6,74.75,11305000
2026-03-04 10:30:00,74.7,75.0,74.35,74.7,3844000
2026-03-04 11:00:00,74.75,74.75,73.95,74.4,4085000
2026-03-04 11:30:00,74.4,74.4,73.8,73.85,4425600
2026-03-04 12:00:00,73.85,74.25,73.8,74.25,3703300
2026-03-04 13:30:00,74.2,74.7,73.85,73.85,4092500
2026-03-04 14:00:00,73.9,74.65,73.8,74.3,2730000
2026-03-04 14:30:00,74.3,74.3,74.05,74.15,2509100
2026-03-04 15:00:00,74.2,74.55,74.1,74.5,2351500
2026-03-04 15:30:00,74.55,74.8,74.2,74.35,3386300
2026-03-04 16:00:00,74.3,75.65,74.3,75.4,13256800
2026-03-05 10:00:00,76.5,76.65,74.5,74.6,9079800
2026-03-05 10:30:00,74.6,75.15,74.4,74.9,2957700
2026-03-05 11:00:00,74.9,75.25,74.7,75.0,2043200
2026-03-05 11:30:00,74.9,75.2,74.35,74.4,2513200
2026-03-05 12:00:00,74.35,74.4,74.05,74.1,1608700
2026-03-05 13:30:00,74.1,74.8,74.05,74.5,3412700
2026-03-05 14:00:00,74.55,74.75,74.2,74.2,2092700
2026-03-05 14:30:00,74.25,74.25,73.85,73.95,3101600
2026-03-05 15:00:00,73.95,74.6,73.9,74.55,2022500
2026-03-05 15:30:00,74.55,74.8,74.2,74.75,3536000
2026-03-05 16:00:00,74.75,74.8,74.35,74.5,8152900
2026-03-06 10:00:00,74.5,75.25,73.65,75.1,7494600
2026-03-06 10:30:00,75.2,76.6,75.05,75.95,7087800
2026-03-06 11:00:00,75.95,76.5,75.9,76.4,2755800
2026-03-06 11:30:00,76.45,77.7,76.4,77.45,5787200
2026-03-06 12:00:00,77.5,77.95,77.4,77.45,3314000
2026-03-06 13:30:00,77.45,77.5,76.55,76.7,3996600
2026-03-06 14:00:00,76.7,77.3,76.6,77.1,2972900
2026-03-06 14:30:00,77.1,77.55,77.1,77.3,3549000
2026-03-06 15:00:00,77.35,77.6,77.15,77.5,2945400
2026-03-06 15:30:00,77.5,77.55,77.05,77.25,2925500
2026-03-06 16:00:00,77.3,77.95,76.85,76.85,34714500
2026-03-09 10:00:00,74.5,77.45,74.0,76.65,12962600
2026-03-09 10:30:00,76.65,77.5,76.3,76.55,5944100
2026-03-09 11:00:00,76.55,78.1,76.25,77.85,6519700
2026-03-09 11:30:00,77.85,78.2,77.1,77.1,3272300
2026-03-09 12:00:00,77.15,77.15,76.9,76.95,1650800
2026-03-09 13:30:00,76.9,78.35,76.6,78.1,4684800
2026-03-09 14:00:00,78.15,78.7,77.75,78.55,4276700
2026-03-09 14:30:00,78.55,78.7,78.15,78.45,3772300
2026-03-09 15:00:00,78.45,78.7,78.2,78.3,5320400
2026-03-09 15:30:00,78.3,79.0,78.0,78.85,5283900
2026-03-09 16:00:00,78.85,78.95,78.45,78.7,9641300
2026-03-10 10:00:00,80.0,80.55,79.05,79.25,5812900
2026-03-10 10:30:00,79.25,79.45,78.85,78.95,2028800
2026-03-10 11:00:00,78.95,79.0,77.95,78.15,3593500
2026-03-10 11:30:00,78.1,78.9,78.0,78.7,3481200
2026-03-10 12:00:00,78.7,78.8,78.0,78.25,2580700
2026-03-10 13:30:00,78.25,78.5,77.8,77.8,3878800
2026-03-10 14:00:00,77.85,78.2,77.55,78.2,3306200
2026-03-10 14:30:00,78.15,78.3,77.8,78.0,2572000
2026-03-10 15:00:00,78.0,78.55,78.0,78.35,3564100
2026-03-10 15:30:00,78.35,79.0,78.15,78.95,4936100
2026-03-10 16:00:00,78.95,79.15,78.65,79.1,8467000
2026-03-11 10:00:00,79.3,79.6,77.3,77.4,8218300
2026-03-11 10:30:00,77.35,77.9,77.25,77.55,3317000
2026-03-11 11:00:00,77.55,78.05,77.4,77.8,3264300
2026-03-11 11:30:00,77.75,77.85,77.2,77.25,3054300
2026-03-11 12:00:00,77.25,77.4,76.8,77.0,3446300
2026-03-11 13:30:00,77.0,77.1,76.75,76.85,2079100
2026-03-11 14:00:00,76.9,77.1,76.65,77.05,2567800
2026-03-11 14:30:00,77.05,77.45,76.95,77.15,1640800
2026-03-11 15:00:00,77.25,77.55,77.05,77.15,2000400
2026-03-11 15:30:00,77.15,77.45,76.9,77.45,2521000
2026-03-11 16:00:00,77.45,77.5,77.2,77.4,6168500
2026-03-12 10:00:00,76.6,77.2,75.9,76.15,7644000
2026-03-12 10:30:00,76.1,76.5,76.0,76.1,2612600
2026-03-12 11:00:00,76.1,76.3,75.7,76.0,3100700
2026-03-12 11:30:00,76.05,76.2,75.9,75.95,1047800
2026-03-12 12:00:00,75.95,76.1,75.8,76.1,871700
2026-03-12 13:30:00,76.05,76.1,75.5,75.5,2580100
2026-03-12 14:00:00,75.5,75.8,75.4,75.8,3688300
2026-03-12 14:30:00,75.8,76.8,75.6,76.1,4846000
2026-03-12 15:00:00,76.1,76.2,75.9,75.9,1430800
2026-03-12 15:30:00,75.9,76.55,75.9,76.55,2337400
2026-03-12 16:00:00,76.5,76.7,76.3,76.7,5862300
2026-03-13 10:00:00,76.05,77.4,75.9,76.45,3410100
2026-03-13 10:30:00,76.45,77.2,76.35,76.65,2067300
2026-03-13 11:00:00,76.65,76.85,76.4,76.6,943800
2026-03-13 11:30:00,76.65,76.8,76.3,76.35,944100
2026-03-13 12:00:00,76.25,76.35,76.15,76.35,825700
2026-03-13 13:30:00,76.35,76.6,76.15,76.4,869800
2026-03-13 14:00:00,76.4,76.75,76.35,76.6,1352100
2026-03-13 14:30:00,76.65,76.75,76.35,76.5,1411900
2026-03-13 15:00:00,76.5,76.5,76.25,76.3,845900
2026-03-13 15:30:00,76.35,76.35,75.85,76.1,1965800
2026-03-13 16:00:00,76.05,76.25,75.95,75.95,3409200
2026-03-16 10:00:00,77.0,78.0,76.5,77.85,6833400
2026-03-16 10:30:00,77.85,78.7,77.55,78.25,6423100
2026-03-16 11:00:00,78.25,78.35,77.7,78.1,1834800
2026-03-16 11:30:00,78.1,78.8,78.0,78.55,4171000
