date,open,high,low,close,volume
2025-12-31,103.7,104.3,102.5,103.3,21806552
2026-01-02,103.3,105.8,102.2,104.6,24476486
2026-01-05,104.2,106.2,103.7,105.4,40887247
2026-01-06,106.2,108.0,105.7,106.1,47681423
2026-01-07,106.1,106.1,103.5,104.5,43863326
2026-01-08,103.7,103.9,99.65,101.0,71725824
2026-01-09,100.0,100.6,98.2,98.5,71605201
2026-01-12,101.3,106.4,100.8,105.0,108743770
2026-01-13,106.5,107.0,103.9,104.9,52013088
2026-01-14,104.9,104.9,100.4,101.5,80092305
2026-01-15,102.0,102.3,100.2,100.8,39093176
2026-01-16,101.9,102.5,99.35,100.0,37523001
2026-01-19,98.8,99.9,98.3,98.5,37288820
2026-01-20,98.3,99.45,97.05,97.35,45401371
2026-01-21,97.0,98.0,96.3,97.3,38515912
2026-01-22,97.35,98.1,96.2,97.0,34480371
2026-01-23,97.3,98.8,97.0,97.55,37200891
2026-01-26,97.95,97.95,96.2,97.1,31250095
2026-01-27,97.1,97.55,96.2,96.55,27407450
2026-01-28,97.0,98.4,96.1,98.35,39950423
2026-01-29,97.3,98.9,97.05,98.6,27680308
2026-01-30,98.05,98.95,97.2,97.2,28956959
2026-02-02,96.5,96.95,94.05,94.85,54620063
2026-02-03,95.1,95.65,91.15,93.2,50436330
2026-02-04,91.5,92.65,90.7,92.15,53329150
2026-02-05,90.2,93.95,90.2,93.8,39784843
2026-02-06,92.55,94.5,91.15,91.4,39226920
2026-02-09,93.0,93.2,90.4,91.05,42466515
2026-02-10,91.05,91.7,88.1,88.8,74372071
2026-02-11,88.4,89.4,87.25,88.85,37829736
2026-02-12,86.65,87.8,84.3,84.85,90415198
2026-02-13,84.05,84.25,80.8,82.15,99656113
2026-02-16,81.65,82.4,79.25,82.05,23648794
2026-02-20,81.15,82.0,80.1,80.75,27220396
2026-02-23,83.2,87.5,82.65,85.0,65205703
2026-02-24,84.2,84.2,80.65,81.4,67807380
2026-02-25,82.4,83.6,81.5,82.7,39932923
2026-02-26,82.7,83.2,80.35,80.45,40036885
2026-02-27,81.0,82.45,80.45,81.15,42462533
2026-03-02,79.6,80.2,77.1,77.4,57081668
2026-03-03,77.25,78.15,75.35,75.65,64441703
2026-03-04,74.65,75.65,73.6,75.4,62511701
2026-03-05,76.65,76.65,73.85,74.5,44459291
2026-03-06,74.5,77.95,73.65,76.85,81436279
2026-03-09,74.4,79.0,74.0,78.7,67180598
2026-03-10,80.0,80.55,77.55,79.1,46241432
2026-03-11,79.15,79.6,76.65,77.4,39917143
2026-03-12,76.5,77.2,75.4,76.7,37947010
2026-03-13,76.0,77.4,75.85,75.95,18836697
2026-03-16,76.9,79.0,76.5,78.3,38287519
2026-03-17,78.45,82.2,78.4,80.0,52313278
2026-03-18,80.55,81.4,79.6,80.3,26863720
2026-03-19,78.7,81.55,78.5,80.7,50616607
2026-03-20,81.55,82.65,78.15,79.15,64632837
2026-03-23,77.8,78.5,75.85,76.55,54303511
2026-03-24,76.75,79.2,76.75,79.0,44636705
2026-03-25,79.95,91.55,78.55,90.0,252756064
2026-03-26,90.0,90.65,85.5,86.7,121140962
2026-03-27,86.15,90.7,84.7,85.9,99424658
2026-03-30,83.7,86.0,82.7,85.25,28024543
