date,open,high,low,close,volume
2025-03-26 14:30:00,7.610,7.640,7.610,7.640,2859304
2025-03-26 15:00:00,7.640,7.640,7.620,7.630,4137500
2025-03-27 10:00:00,7.620,7.680,7.620,7.670,8887816
2025-03-27 10:30:00,7.670,7.680,7.630,7.660,3382420
2025-03-27 11:00:00,7.650,7.680,7.650,7.670,4153440
2025-03-27 11:30:00,7.660,7.670,7.640,7.660,1020290
2025-03-27 13:30:00,7.650,7.660,7.640,7.650,1530376
2025-03-27 14:00:00,7.650,7.650,7.630,7.630,2161100
2025-03-27 14:30:00,7.630,7.660,7.630,7.650,2424502
2025-03-27 15:00:00,7.650,7.670,7.640,7.650,3391333
2025-03-28 10:00:00,7.660,7.670,7.630,7.640,6862347
2025-03-28 10:30:00,7.630,7.690,7.620,7.690,6535677
2025-03-28 11:00:00,7.690,7.690,7.660,7.680,6073400
2025-03-28 11:30:00,7.670,7.690,7.670,7.680,4710408
2025-03-28 13:30:00,7.680,7.740,7.670,7.720,7575505
2025-03-28 14:00:00,7.710,7.750,7.710,7.740,6322500
2025-03-28 14:30:00,7.730,7.750,7.720,7.740,4564680
2025-03-28 15:00:00,7.740,7.750,7.720,7.740,8654662
2025-03-31 10:00:00,7.750,7.850,7.680,7.820,16227891
2025-03-31 10:30:00,7.820,7.880,7.810,7.830,8302904
2025-03-31 11:00:00,7.840,7.840,7.820,7.820,3450300
2025-03-31 11:30:00,7.830,7.870,7.800,7.820,6607530
2025-03-31 13:30:00,7.820,7.890,7.810,7.850,7691748
2025-03-31 14:00:00,7.850,7.870,7.810,7.820,4932900
2025-03-31 14:30:00,7.820,7.840,7.790,7.820,4570900
2025-03-31 15:00:00,7.820,7.830,7.810,7.830,4941000
2025-04-01 10:00:00,7.800,7.890,7.790,7.820,12044476
2025-04-01 10:30:00,7.820,7.830,7.770,7.790,5908944
2025-04-01 11:00:00,7.790,7.790,7.750,7.770,3661294
2025-04-01 11:30:00,7.770,7.780,7.760,7.770,3083677
2025-04-01 13:30:00,7.770,7.790,7.750,7.780,3883147
2025-04-01 14:00:00,7.780,7.810,7.770,7.810,3039918
2025-04-01 14:30:00,7.810,7.850,7.800,7.850,3470300
2025-04-01 15:00:00,7.850,7.850,7.820,7.830,4345698
2025-04-02 10:00:00,7.830,7.950,7.830,7.920,16254860
2025-04-02 10:30:00,7.930,7.950,7.900,7.930,6147901
2025-04-02 11:00:00,7.920,7.940,7.880,7.890,3934380
2025-04-02 11:30:00,7.890,7.930,7.880,7.930,3236612
2025-04-02 13:30:00,7.920,7.930,7.900,7.920,3718372
2025-04-02 14:00:00,7.910,7.930,7.900,7.900,3056840
2025-04-02 14:30:00,7.910,7.920,7.900,7.920,3796334
2025-04-02 15:00:00,7.910,7.930,7.900,7.930,4767819
2025-04-03 10:00:00,7.900,7.920,7.860,7.900,8255400
2025-04-03 10:30:00,7.900,7.950,7.890,7.930,4017120
2025-04-03 11:00:00,7.940,7.950,7.910,7.920,2216760
2025-04-03 11:30:00,7.930,7.930,7.880,7.900,2479800
2025-04-03 13:30:00,7.890,7.910,7.880,7.890,2970426
2025-04-03 14:00:00,7.890,7.920,7.880,7.900,3033774
2025-04-03 14:30:00,7.910,7.920,7.900,7.920,2720652
2025-04-03 15:00:00,7.920,7.940,7.910,7.930,4252713
2025-04-07 10:00:00,7.650,7.750,7.440,7.570,30696360
2025-04-07 10:30:00,7.570,7.620,7.530,7.530,10084387
2025-04-07 11:00:00,7.540,7.600,7.500,7.520,9063284
2025-04-07 11:30:00,7.520,7.540,7.470,7.480,6988536
2025-04-07 13:30:00,7.480,7.480,7.400,7.420,16768304
2025-04-07 14:00:00,7.420,7.470,7.370,7.430,11105310
2025-04-07 14:30:00,7.430,7.430,7.230,7.260,12697067
2025-04-07 15:00:00,7.260,7.490,7.240,7.410,15547128
2025-04-08 10:00:00,7.440,7.550,7.400,7.520,26838846
2025-04-08 10:30:00,7.520,7.580,7.520,7.540,10224721
2025-04-08 11:00:00,7.540,7.580,7.490,7.520,4802448
2025-04-08 11:30:00,7.510,7.590,7.510,7.570,7997280
2025-04-08 13:30:00,7.570,7.570,7.490,7.510,6247888
2025-04-08 14:00:00,7.500,7.550,7.490,7.520,7475512
2025-04-08 14:30:00,7.520,7.530,7.470,7.520,6275920
2025-04-08 15:00:00,7.510,7.570,7.490,7.550,13235860
2025-04-09 10:00:00,7.530,7.580,7.390,7.410,22249853
2025-04-09 10:30:00,7.410,7.460,7.400,7.440,11318580
2025-04-09 11:00:00,7.440,7.470,7.400,7.460,5394646
2025-04-09 11:30:00,7.470,7.510,7.430,7.490,4424651
2025-04-09 13:30:00,7.480,7.500,7.450,7.480,3696157
2025-04-09 14:00:00,7.490,7.500,7.460,7.460,4433600
2025-04-09 14:30:00,7.460,7.480,7.450,7.470,7081952
2025-04-09 15:00:00,7.460,7.540,7.440,7.540,11061524
2025-04-10 10:00:00,7.610,7.610,7.510,7.580,16705688
2025-04-10 10:30:00,7.570,7.610,7.550,7.600,7486083
2025-04-10 11:00:00,7.600,7.620,7.580,7.590,4346665
2025-04-10 11:30:00,7.590,7.600,7.560,7.590,3416815
2025-04-10 13:30:00,7.580,7.590,7.540,7.580,4339950
2025-04-10 14:00:00,7.570,7.590,7.550,7.570,3810900
2025-04-10 14:30:00,7.560,7.580,7.550,7.560,3131993
2025-04-10 15:00:00,7.570,7.580,7.550,7.570,8199128
2025-04-11 10:00:00,7.560,7.590,7.530,7.550,10673564
2025-04-11 10:30:00,7.550,7.580,7.520,7.550,5834191
2025-04-11 11:00:00,7.550,7.560,7.520,7.540,2258900
2025-04-11 11:30:00,7.550,7.550,7.520,7.540,2366314
2025-04-11 13:30:00,7.540,7.570,7.500,7.560,5074748
2025-04-11 14:00:00,7.560,7.570,7.550,7.560,2902484
2025-04-11 14:30:00,7.560,7.580,7.560,7.560,4058449
2025-04-11 15:00:00,7.560,7.580,7.550,7.570,5058979
2025-04-14 10:00:00,7.590,7.680,7.580,7.660,11773300
2025-04-14 10:30:00,7.670,7.680,7.650,7.660,5052828
2025-04-14 11:00:00,7.670,7.670,7.630,7.640,3492200
2025-04-14 11:30:00,7.640,7.660,7.630,7.660,3028600
2025-04-14 13:30:00,7.650,7.680,7.640,7.660,4232900
2025-04-14 14:00:00,7.660,7.690,7.660,7.690,3312272
2025-04-14 14:30:00,7.690,7.690,7.670,7.680,3012600
2025-04-14 15:00:00,7.680,7.680,7.650,7.660,5066115
2025-04-15 10:00:00,7.670,7.730,7.650,7.730,6963315
2025-04-15 10:30:00,7.730,7.750,7.710,7.720,6281930
2025-04-15 11:00:00,7.730,7.750,7.710,7.740,3388969
2025-04-15 11:30:00,7.750,7.790,7.730,7.790,5606138
2025-04-15 13:30:00,7.780,7.800,7.770,7.800,4641261
2025-04-15 14:00:00,7.800,7.820,7.780,7.810,4421763
2025-04-15 14:30:00,7.810,7.820,7.800,7.810,2733100
2025-04-15 15:00:00,7.810,7.850,7.800,7.830,7081574
2025-04-16 10:00:00,7.840,7.870,7.800,7.830,11196451
2025-04-16 10:30:00,7.840,7.850,7.800,7.810,3565019
2025-04-16 11:00:00,7.810,7.870,7.810,7.860,5092672
2025-04-16 11:30:00,7.860,7.890,7.850,7.870,5302414
2025-04-16 13:30:00,7.860,7.880,7.840,7.870,4042799
2025-04-16 14:00:00,7.870,7.890,7.860,7.880,4820888
2025-04-16 14:30:00,7.880,7.890,7.870,7.890,2234781
2025-04-16 15:00:00,7.890,7.960,7.870,7.960,13636296
2025-04-17 10:00:00,7.940,7.950,7.790,7.850,14773988
2025-04-17 10:30:00,7.850,7.920,7.850,7.910,5669781
2025-04-17 11:00:00,7.910,7.940,7.900,7.910,3299123
2025-04-17 11:30:00,7.900,7.920,7.880,7.890,3275999
